ID,PARENT_ID,GS_CODE,DESCRIPTION
1,0,10,Goods
2,0,20,Services
2037774,1,1000001,Computers: Software / Hardware
2038051,1,1000002,Information Services (Goods)
2038157,1,1000003,Install & Repair Charges
2038158,1,1000004,Publications
2038159,1,1000005,Miscellaneous Goods
2038231,1,1000006,Textiles and textile articles
2038291,1,1000007,Retail
2038301,1,1000008,Food
2038310,1,1000009,Medical and Health Related Items
2038993,1,1000010,Motor Vehicle Transactions
2039056,1,1000011,Miscellaneous Charges
2039836,1,1000012,Leasing / Rental
2040298,1,1000013,Manufacturing & Mining
2049387,1,1000014,Real Property
2038016,2,2000001,Information Services
2037764,2,2000002,Miscellaneous Services
2038160,2,2000003,General Services Codes - UNCPC
2038261,2,2000004,Construction Services to Real Property
2038386,2,2000005,Computer Related Services
2038864,2,2000006,Vehicle Transactions and Related Charges
2039007,2,2000007,Professional and Personal Services
2039033,2,2000008,Install & Repair Charges
2049869,2,2000009,Transportation
2051674,2038291,59,Motor Fuel
2051675,2051674,5901,Motor Fuel - Retail Fuel Charges
2051676,2051675,590101,"Motor Fuel - Retail Fuel Charges. Motor Fuel - Retail Fuel Charges. These codes do not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, these codes do not necessarily assume motor fuel tax is applicable. Exemptions should exist in those jurisdictions that have a product-based exemption or an exemption triggered by a broad application of motor fuel tax with no exceptions"
2051677,2051676,59010101,"Gasoline and Gasohol Fuel – Includes gasoline, pure ethanol, and gasohol blends which do not meet the ASTM International active standard D5798 for fuel ethanol (E85 fuel) and contains less than 85% ethanol. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051678,2051676,59010102,"Majority Blended Ethanol Gasohol Fuel – Includes gasohol blends meeting the ASTM International active standard D5798 for fuel ethanol (E85 fuel) and which contains less than 85% ethanol. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051679,2051676,59010103,"Majority Blended Ethanol Gasohol Fuel – Includes gasohol blends containing between 85% and 90% ethanol. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051680,2051676,59010104,"Majority Blended Ethanol Gasohol Fuel – Includes gasohol blends containing between 91% and 99% ethanol. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051681,2051676,59010105,"Undyed Diesel and Biodiesel Fuel – Includes undyed petroleum diesel and undyed biodiesel blends containing between 1% and 10% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051682,2051676,59010106,"Undyed Biodiesel Blended Fuel Containing at least 11% Biodiesel – Includes undyed biodiesel blends containing between 11% and 99% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051683,2051676,59010107,"Undyed Biodiesel Blended Fuel Containing 20% Biodiesel – Includes undyed biodiesel blends containing 20% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051684,2051676,59010108,"Dyed Diesel and Biodiesel Fuel – Includes dyed petroleum diesel and dyed biodiesel blends containing between 1% and 10% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051685,2051676,59010109,"Dyed Biodiesel Blended Fuel Containing at least 11% Biodiesel – Includes dyed biodiesel blends containing between 11% and 99% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2051686,2051676,59010110,"Dyed Biodiesel Blended Fuel Containing 20% Biodiesel – Includes dyed biodiesel blends containing 20% biodiesel. This code does not support motor fuel tax. Where sales or use tax is contingent upon the application of motor fuel tax, this code does not necessarily assume motor fuel tax is applicable"
2050791,2039033,60,Real Property Installation/Repair (These Codes Do Not Fully Support Prime Contracting Rules)
2050792,2050791,6001,Installation Charges - General Contractor is Not a Retailer
2050793,2050792,600101,New Commercial Property
2050794,2050793,60010101,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050795,2050793,60010102,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050796,2050793,60010103,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050797,2050793,60010104,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050798,2050793,60010105,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050799,2050793,60010106,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050800,2050793,60010107,"Initial Installation of Flooring, Wood - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050801,2050793,60010108,"Initial Installation of Flooring, Wood - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050802,2050793,60010109,"Initial Installation of Flooring, Wood - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050874,2050793,60010110,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050875,2050793,60010111,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050876,2050793,60010112,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050877,2050793,60010113,"Initial Installation of Flooring, Carpet Using Glue Down Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050878,2050793,60010114,"Initial Installation of Flooring, Carpet Using Glue Down Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
